audioTimeSec,isRunning,isOnTarget,rayOriginX,rayOriginY,rayOriginZ,rayDirX,rayDirY,rayDirZ,targetX,targetY,targetZ
3.755,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
3.776,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
3.797,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
3.84,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
3.861,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
3.883,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
3.904,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
3.925,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
3.947,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
3.968,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
3.989,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
4.011,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
4.032,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
4.053,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
4.096,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
4.117,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
4.139,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
4.16,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
4.16,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
4.181,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
4.224,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
4.245,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
4.267,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
4.288,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
4.331,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
4.352,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
4.373,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
4.395,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
4.416,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
4.437,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
4.459,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
4.48,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
4.523,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
4.544,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
4.565,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
4.587,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
4.608,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
4.629,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
4.651,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
4.651,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
4.672,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
4.693,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
4.715,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
4.736,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
4.8,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
4.8,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
4.821,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
4.864,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
4.885,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
4.907,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
4.928,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
4.949,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
4.971,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
4.992,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
5.035,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
5.056,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
5.077,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
5.099,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
5.12,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
5.12,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
5.141,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
5.163,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
5.205,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
5.227,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
5.269,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
5.291,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
5.291,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
5.312,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
5.333,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
5.376,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
5.397,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
5.419,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
5.44,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
5.461,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
5.483,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
5.525,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
5.547,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
5.547,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
5.589,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
5.611,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
5.632,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
5.653,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
5.675,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
5.696,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
5.717,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
5.739,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
5.76,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
5.76,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
5.781,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
5.803,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
5.845,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
5.845,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
5.867,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
5.888,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
5.909,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
5.952,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
5.973,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
5.995,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
